layer,lima_190 <=> lima_190,lima_190 <=> lima_191,lima_190 <=> lima_103,lima_190 <=> lima_78,lima_190 <=> lima_346
embed_tokens,0.047207723615289854,-0.04830832529908286,-0.003189961536251368,0.010061597172179663,-0.03558314680276795
layers.0.self_attn.q_proj,0.045547441142605026,0.02435519036308567,-0.056179228903823826,0.0769222724810741,0.02050805256786429
layers.0.self_attn.k_proj,-0.06263833394335906,0.038538641696625305,-0.03284541032223959,0.08227663538200179,0.09978217286078482
layers.0.self_attn.v_proj,-0.06309610623709272,0.006481157514442687,-0.005722165133376351,0.030670743587179115,-0.0256639225966082
layers.0.self_attn.o_proj,-0.03163859168592106,-0.009018293388444882,-0.016228359173920688,0.03047407769543787,-0.005190061623317861
layers.0.mlp.gate_proj,-0.019560852036922247,0.003408187564642131,-0.01146520630966793,0.016991747514160115,0.005876257390088005
layers.0.mlp.up_proj,-0.03056173645713843,-0.019474796316179124,-0.005532518591853934,-0.00978582340189189,-0.010371666342191124
layers.0.mlp.down_proj,-0.0035112274754544397,-0.011287660309411486,-0.001381626967109554,0.023032297470933934,0.000847517088847999
layers.1.self_attn.q_proj,-0.019142148582212838,0.051642294823591985,0.04999788790486453,0.02987142244172312,0.026771571420548864
layers.1.self_attn.k_proj,0.03238867182896869,0.10720499847162202,0.07332522693375221,0.06974092665057599,0.029969573416469813
layers.1.self_attn.v_proj,-0.0546625935100437,-0.007779404452526584,-0.002206282267790872,0.017874978233236277,-0.04220212625484871
layers.1.self_attn.o_proj,-0.011025704853059962,-0.008772636425904819,-0.003130173626041223,0.012233536690838704,0.005290993652148377
layers.1.mlp.gate_proj,-0.013548423030224212,0.0032978606695614025,-0.0018996699324849073,0.0073031351739949076,0.004362181988098326
layers.1.mlp.up_proj,-0.01684390861526732,0.015377592159886296,0.009520798417769252,-0.0033187230259143163,0.011314368451818548
layers.1.mlp.down_proj,-0.008830671499104357,-0.001688458497631193,0.013897889893635542,0.007473707985378568,0.0017020549942475308
layers.2.self_attn.q_proj,-0.006063190505487647,0.01167245765975267,-0.006767197001284972,0.020733850772484852,-0.008398381259064737
layers.2.self_attn.k_proj,0.05847763331338058,0.047574155921166636,0.03596811892455895,0.05364113235212718,-0.030855384046043634
layers.2.self_attn.v_proj,-0.03471738863861808,0.014831460673838557,0.019959798662796794,-0.005575146908503444,0.036316419486999
layers.2.self_attn.o_proj,-0.011165866214113362,-0.006640084038588105,0.004417376950022208,-0.001653606508590544,0.002457666832882954
layers.2.mlp.gate_proj,0.005392233427913654,-0.009497568589016134,0.008224891546696035,0.00850888165950353,0.003943360535564368
layers.2.mlp.up_proj,0.017156683531261784,0.0009863644530688621,0.007539705055467873,0.01165696309387981,-0.013463980135976198
layers.2.mlp.down_proj,0.045287322204771725,0.019805504407281967,0.03294477154698245,-0.015128819783712236,0.04279687771393505
layers.3.self_attn.q_proj,-0.029212669792020685,0.007253085776116001,0.029030908531417828,0.020314585816396825,-0.021965222816754216
layers.3.self_attn.k_proj,0.06199931446769936,-0.0038062720828846565,-0.009482523279242101,-0.0367196646916492,0.05406542108038814
layers.3.self_attn.v_proj,0.06268200778343026,0.044252744293600835,0.03066022845181241,0.019835673154056897,0.04497859051248517
layers.3.self_attn.o_proj,0.00366689447185281,0.00536892404414746,0.005104020510230355,0.009763372363833383,0.007178559753904332
layers.3.mlp.gate_proj,-0.014290142564030515,0.027216497484421048,0.012535925581402384,0.003977437612136249,0.015952765149655438
layers.3.mlp.up_proj,0.006663610147030619,0.04123659192128275,0.007289541145945123,0.005805721932057407,0.03344569155336109
layers.3.mlp.down_proj,0.024448737869423448,0.0430215099536805,0.046005455987151195,-0.028548674236092798,0.04191967188728286
layers.4.self_attn.q_proj,-0.027372630186034114,0.03903656889862201,0.029917723386997122,0.004160910829443084,-0.013894566097187748
layers.4.self_attn.k_proj,-0.0033245272393409016,0.11537051898590643,0.06964780220897457,0.032848149630691784,0.0808204580008042
layers.4.self_attn.v_proj,-0.08794135441232025,0.038334882659072936,0.015241064124269413,-0.08667249358834031,0.06104973108789136
layers.4.self_attn.o_proj,-0.0027267677091395263,0.0017428264148145597,-0.00031423476346878346,-0.00267979864815383,0.007560376449876898
layers.4.mlp.gate_proj,-0.001683388719970031,0.01593325287161583,0.011169864446018285,0.005433106383930632,-0.0028313727455941927
layers.4.mlp.up_proj,-0.007832582402383543,0.005265291156950413,0.001812825019329031,0.006029204385524953,-0.010546449729992614
layers.4.mlp.down_proj,-0.004065823950786561,0.0033304324951025158,0.010305457117255765,0.0008986726816059046,0.0030147731863397666
layers.5.self_attn.q_proj,-0.02076713485505412,0.02784702324701979,0.0017997782889469392,-0.006396467502843891,-0.024681173200705356
layers.5.self_attn.k_proj,-0.13819593368855704,0.10549522359873068,0.09467303612697857,-0.006442574093875444,-0.010127170945946316
layers.5.self_attn.v_proj,0.02696708356206113,0.03400621563385951,0.009214838783990103,-0.05214017280517392,0.03654200387280926
layers.5.self_attn.o_proj,0.01029591533950753,-0.0026410146387227246,-0.0013749679352071714,0.003332682615563043,0.005960089052734737
layers.5.mlp.gate_proj,0.0053240374597025505,0.007953721730399703,-0.005692792061687004,0.005275664229778576,-0.00044437114318832664
layers.5.mlp.up_proj,0.001751781978704465,0.012560713492601265,-0.002597881175669085,0.0068757459330556145,0.009627321226299368
layers.5.mlp.down_proj,0.002121440990316497,0.0024904016529670703,-0.004551087933615043,0.0040396356183718405,0.0003053258542157126
