layer,lima_69,lima_50,lima_30,lima_31,lima_36
model.embed_tokens.weight,0.01639540859391448,0.0019665213054947,-0.01959856892972167,0.04725959814633801,-0.02878861923903258
model.layers.0.self_attn.q_proj.weight,0.002897131169231951,-0.07000063606865392,0.0022654909705768947,-0.0184033089678613,-0.03061708207223016
model.layers.0.self_attn.k_proj.weight,-0.031046995017787238,-0.03137006367978946,0.012920800562487818,0.030517351655410536,0.008657170044471408
model.layers.0.self_attn.v_proj.weight,-0.00708115293631378,-0.0181864270483912,0.020737347788479375,-0.00442596092656058,-0.07876415750040497
model.layers.0.self_attn.o_proj.weight,0.009389118055216753,-0.012738888607708528,-0.002082751465574668,0.015089898052481092,-0.062364690972198926
model.layers.0.mlp.gate_proj.weight,0.008422594959523782,0.017750232244999692,0.004485647573576775,0.012578090134347889,-0.030737128566449397
model.layers.0.mlp.up_proj.weight,0.013514357604280361,-0.01839214302813587,0.01807295797127254,0.0285683465680128,-0.045591026150420995
model.layers.0.mlp.down_proj.weight,0.015001263240355186,0.017905821125996507,0.004465023663732334,0.00839713561842537,-0.0314567920915633
model.layers.1.self_attn.q_proj.weight,-0.00888771048225531,-0.0796602893962691,0.02068892488751166,0.02564435025834946,-0.005319490491660204
model.layers.1.self_attn.k_proj.weight,-0.11634905245837072,-0.08317747474708256,-0.08881033025475905,0.025730739371098568,-0.04525190400280882
model.layers.1.self_attn.v_proj.weight,0.05306265823564967,-0.07828587756275222,0.02397691098232725,0.03958188059413634,-0.03924344320575865
model.layers.1.self_attn.o_proj.weight,0.013131572903644537,0.027607002546066975,0.0019826244316389387,0.022690480037644428,-0.00784007667049469
model.layers.1.mlp.gate_proj.weight,0.0026836588909347724,0.0017452938509427073,0.001688180734121445,0.007034587575970704,-0.0359056277851244
model.layers.1.mlp.up_proj.weight,0.010979194787457751,0.016555222906868245,0.020326397298193744,-0.006942439062668335,-0.02250422229058868
model.layers.1.mlp.down_proj.weight,0.017845765447026835,0.028981437690058766,0.008159042552991151,0.015787417793824594,-0.010683747415328897
model.layers.2.self_attn.q_proj.weight,-0.036043245188848216,0.03672515670485295,0.0326581199808779,0.004547146751514711,0.03212192175981245
model.layers.2.self_attn.k_proj.weight,-0.06441330919524328,0.06031825429885941,-0.023990734518871654,0.027287213537483895,0.04760847405023341
model.layers.2.self_attn.v_proj.weight,0.005036450800296236,-0.022132115094104315,0.046343864087106924,0.04038321886186722,0.04037227836002171
model.layers.2.self_attn.o_proj.weight,0.014131833378121822,0.0204772894802886,0.0004270515790513575,0.01371689426477571,0.008058290730737211
