layer,lima_815 <=> lima_815,lima_815 <=> lima_848,lima_815 <=> lima_742,lima_815 <=> lima_406,lima_815 <=> lima_851
model.embed_tokens.weight,-0.05120483062779205,-0.02364995004700817,-0.061190609559046816,-0.027815227454624468,0.015063374779929516
model.layers.0.self_attn.q_proj.weight,-0.04111453287234705,-0.06062829977848117,0.026757036182389206,0.015121776707656999,-0.041251670696555456
model.layers.0.self_attn.k_proj.weight,-0.07454000289641993,0.05680887427543432,-0.018344840244199547,-0.02058578140473689,-0.11002834077724419
model.layers.0.self_attn.v_proj.weight,-0.007491259951493931,0.004158415544170012,0.024010610198887318,0.0060287152906088725,0.006168819076710619
model.layers.0.self_attn.o_proj.weight,0.005633480123449461,0.0055600250213066185,0.021080363882158108,-0.0017331606998798818,-0.0025626517336781542
model.layers.0.mlp.gate_proj.weight,0.007568415209083467,0.018468041537041416,0.018775924485873383,0.004346095835740044,-0.001788801518079777
model.layers.0.mlp.up_proj.weight,-0.005928120538102809,0.020740514021752022,0.0204255364961715,0.013032739360415362,-0.005907071129024647
model.layers.0.mlp.down_proj.weight,0.006627423621541347,0.004832167336328769,0.0053785555646008,0.003517929657139602,-0.003364478122966583
model.layers.1.self_attn.q_proj.weight,0.014755975533767576,-0.039888735696578366,0.03315229884310884,0.0524135218510784,0.008494048407359943
model.layers.1.self_attn.k_proj.weight,-0.03835609262883961,-0.06979966508896739,0.016450589415255467,0.12480666161866168,0.01462255689673648
model.layers.1.self_attn.v_proj.weight,-0.006582339160836679,0.014269350903822765,0.011023727388286884,-0.0005218313980545831,0.030056015172413034
model.layers.1.self_attn.o_proj.weight,0.007584594622249272,0.011586274630759445,0.006688786644815524,0.0036612249427605734,0.0015260014794228286
model.layers.1.mlp.gate_proj.weight,0.01423233573947344,-0.007029475032502735,0.0014986990637584237,-0.0005300234813642145,0.00730871828366925
model.layers.1.mlp.up_proj.weight,0.021219118200054506,-0.02759522717831325,-0.0009234783105684028,-0.01705182881787216,0.01925979652537547
model.layers.1.mlp.down_proj.weight,0.009937909011767262,-2.5814964936064825e-05,0.008921711986470071,0.006771032145761343,0.00772587888206657
model.layers.2.self_attn.q_proj.weight,0.06863769544448764,-0.01259826913960706,-0.05476653791111099,-0.011942200464226454,-0.02253994652731566
model.layers.2.self_attn.k_proj.weight,0.08623366544943183,-0.038682483143949495,-0.07392450420146453,-0.016900601902825496,-0.04422477873646576
model.layers.2.self_attn.v_proj.weight,-0.02671345627407219,-0.014614956425372213,0.020496995808604184,0.010406821904350385,-0.006468159103553057
model.layers.2.self_attn.o_proj.weight,0.0069164099883939935,0.004801116116163561,0.0027166358004943217,0.0002746939369493666,-0.003364181364556733
model.layers.2.mlp.gate_proj.weight,0.005361808524361936,0.00041265055858255535,-0.00026998825901050665,0.0011029302256305308,-0.013116332781404307
model.layers.2.mlp.up_proj.weight,-0.0005609592879710608,0.009395356826378971,0.008867075312679057,-0.0021288441538438283,-0.006093162353883977
model.layers.2.mlp.down_proj.weight,-0.033107450183998216,0.01694492458857427,-0.01294831254070508,-0.018334928970232093,-0.0430976603413031
model.layers.3.self_attn.q_proj.weight,0.06413539937722704,0.07047103180271358,-0.004620952386998492,-0.015234000244178907,0.02911706630046913
model.layers.3.self_attn.k_proj.weight,0.10540219537564653,0.1130880998153456,0.19790933526482082,-0.1447079373448116,-0.035746479295769164
model.layers.3.self_attn.v_proj.weight,-0.03430433947155408,-0.003892381383246449,0.013425587490672151,-0.034680915331562714,-0.07417957916998581
model.layers.3.self_attn.o_proj.weight,-0.005691020685772516,-0.0014896972348088008,0.006121803987327407,0.0016454186971374186,-0.0024513641892276836
model.layers.3.mlp.gate_proj.weight,0.00924660358685748,-0.005691347639767831,0.013644161141956506,0.007541696345379975,-0.006445501798844217
model.layers.3.mlp.up_proj.weight,0.026573367833402705,-0.02142653455606638,0.026611501080905087,0.013800710092801219,-0.011200649424992748
model.layers.3.mlp.down_proj.weight,-0.005282739718988325,-0.039706160486842744,-0.004350240613123593,-0.0015152152109354693,-0.04907746364562645
model.layers.4.self_attn.q_proj.weight,0.030018708724790805,-0.030811354810925593,0.050115764804044824,-0.016200487972918644,0.0040707410964037835
model.layers.4.self_attn.k_proj.weight,-0.01708654809378067,-0.15194878232647643,0.07546453403567713,-0.1075746999363343,0.0420224644720815
model.layers.4.self_attn.v_proj.weight,-0.004065872116971166,-0.04194824987922891,0.05054769822664618,0.05118634196348191,-0.05269327645726937
model.layers.4.self_attn.o_proj.weight,0.018063240963397075,-0.0004932581300837943,0.009942507696466235,0.0116913839550327,0.0005124218436917959
model.layers.4.mlp.gate_proj.weight,-0.012659441777506608,-0.00015725609289392295,0.010001118175737695,0.00670204825575236,-0.013719454060740082
model.layers.4.mlp.up_proj.weight,-0.0033922777566212513,0.01551803125707455,0.010299151239050562,0.00508572022860592,-0.006471260941567227
model.layers.4.mlp.down_proj.weight,0.004900740384083283,0.011015444787289415,0.005168170738998679,0.011700791969240454,-0.00399371155497849
model.layers.5.self_attn.q_proj.weight,-0.027017176739817534,0.008821263946479594,0.034430881927979294,0.02156186948116365,-0.014438253699389154
model.layers.5.self_attn.k_proj.weight,-0.013128655134284314,0.0012636567421552454,0.1132423417936956,-0.05027215517795299,-0.12028958995809326
